event_abbreviation,event_definition,coding_system,code_issue_dot,code_name,concept,concept_name,tags,system,type,code,conception_categories
24weeksUNK,24 weeks pregnancy unknown,ICD10CM,Z3A.24,24 weeks gestation of pregnancy,C3264102,24 weeks gestation of pregnancy,narrow,P,PrA,Z3A.24,ongoing_pregnancy
AtTerm,At term delivery,ICD10,O32.4,Maternal care for high head at term,C0495205,Maternal care for high head at term,possible,P,PrA,O32.4,end_of_pregnancy
AtTerm,At term delivery,ICD10,O60.2,Term delivery with preterm labor - Preterm spontaneous labor with term delivery,,,narrow,P,PrA,O60.2,end_of_pregnancy
AtTerm,At term delivery,ICD10,O60.20,Term delivery with preterm labor- unspecified trimester,,,narrow,P,PrA,O60.20,end_of_pregnancy
AtTerm,At term delivery,ICD10,O60.22,Term delivery with preterm labor- second trimester,,,narrow,P,PrA,O60.22,end_of_pregnancy
AtTerm,At term delivery,ICD10,O60.23,Term delivery with preterm labor- third trimester,,,narrow,P,PrA,O60.23,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O32.4,Maternal care for high head at term,C0495205,Maternal care for high head at term,possible,P,PrA,O32.4,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O32.4XX0,Maternal care for high head at term- not applicable or unspecified,,,narrow,P,PrA,O32.4XX0,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O32.4XX1,Maternal care for high head at term- fetus 1,,,narrow,P,PrA,O32.4XX1,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O32.4XX2,Maternal care for high head at term- fetus 2,,,narrow,P,PrA,O32.4XX2,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O32.4XX3,Maternal care for high head at term- fetus 3,,,narrow,P,PrA,O32.4XX3,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O32.4XX4,Maternal care for high head at term- fetus 4,,,narrow,P,PrA,O32.4XX4,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O32.4XX5,Maternal care for high head at term- fetus 5,,,narrow,P,PrA,O32.4XX5,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O32.4XX9,Maternal care for high head at term- other fetus,,,narrow,P,PrA,O32.4XX9,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O60.2,Term delivery with preterm labor - Preterm spontaneous labor with term delivery,,,narrow,P,PrA,O60.2,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O60.20,Term delivery with preterm labor- unspecified trimester,,,narrow,P,PrA,O60.20,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O60.22,Term delivery with preterm labor- second trimester,,,narrow,P,PrA,O60.22,end_of_pregnancy
AtTerm,At term delivery,ICD10CM,O60.23,Term delivery with preterm labor- third trimester,,,narrow,P,PrA,O60.23,end_of_pregnancy
AtTerm,At term delivery,ICD9CM,652.5,High fetal head at term,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,PrA,652.5,end_of_pregnancy
AtTerm,At term delivery,ICD9CM,652.5,High head at term- unspecified as to episode of care or not applicable,C0156945,High head at term- unspecified as to episode of care or not applicable,possible,P,PrA,652.5,end_of_pregnancy
AtTerm,At term delivery,ICD9CM,652.50,High head at term- unspecified as to episode of care or not applicable,C0156945,High head at term- unspecified as to episode of care or not applicable,possible,P,PrA,652.50,end_of_pregnancy
AtTerm,At term delivery,ICD9CM,652.51,High head at term- delivered- with or without mention of antepartum condition,C0156946,High head at term - delivered,narrow,P,PrA,652.51,end_of_pregnancy
AtTerm,At term delivery,ICD9CM,652.51,High head at term- delivered- with or without mention of antepartum condition,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,PrA,652.51,end_of_pregnancy
AtTerm,At term delivery,ICD9CM,652.53,High head at term- antepartum condition or complication,C0156947,High head at term- antepartum condition or complication,possible,P,PrA,652.53,end_of_pregnancy
AtTerm,At term delivery,MTHICD9,652.5,Failure of head to enter pelvic brim,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,PrA,652.5,end_of_pregnancy
AtTerm,At term delivery,MTHICD9,652.5,High head at term- unspecified as to episode of care,C0156945,High head at term- unspecified as to episode of care or not applicable,possible,P,PrA,652.5,end_of_pregnancy
AtTerm,At term delivery,MTHICD9,652.50,High head at term- unspecified as to episode of care,C0156945,High head at term- unspecified as to episode of care or not applicable,possible,P,PrA,652.50,end_of_pregnancy
AtTerm,At term delivery,MTHICD9,652.51,High head at term- delivered,C0156946,High head at term - delivered,narrow,P,PrA,652.51,end_of_pregnancy
AtTerm,At term delivery,MTHICD9,652.51,High head at term- delivered,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,PrA,652.51,end_of_pregnancy
AtTerm,At term delivery,MTHICD9,652.53,High head at term- antepartum,C0156947,High head at term- antepartum condition or complication,possible,P,PrA,652.53,end_of_pregnancy
AtTerm,At term delivery,RCD2,L227.,High head at term,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,PrA,L227.,end_of_pregnancy
AtTerm,At term delivery,RCD2,L2270,High head at term unspecified,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,PrA,L2270,end_of_pregnancy
AtTerm,At term delivery,RCD2,L2271,High head at term - delivered,C0156946,High head at term - delivered,narrow,P,PrA,L2271,end_of_pregnancy
AtTerm,At term delivery,RCD2,L2271,High head at term - delivered,C0156946,high head presentation of fetus at term with baby delivered,narrow,P,PrA,L2271,end_of_pregnancy
AtTerm,At term delivery,RCD2,L2272,High head at term+a-n problem,C0426188,High head at term with antenatal problem,possible,P,PrA,L2272,end_of_pregnancy
AtTerm,At term delivery,RCD2,L227z,High head at term NOS,C0426187,Failure of fetal head to enter pelvic brim,narrow,P,PrA,L227z,end_of_pregnancy
